SA2_MAINCODE_2016,EWFT_16_TechFEI_FT,EWFT_16_TechFEI_PT,EWFT_16_TechFEI_NS,EWFT_16_TechFEI_Tot,EWFT_16_UniOTIs_FT,EWFT_16_UniOTIs_PT,EWFT_16_UniOTIs_NS,EWFT_16_UniOTIs_Tot,EWFT_16_Other,EWFT_16_NS,EWFT_16_Tot,EWFT_17_TechFEI_FT,EWFT_17_TechFEI_PT,EWFT_17_TechFEI_NS,EWFT_17_TechFEI_Tot,EWFT_17_UniOTIs_FT,EWFT_17_UniOTIs_PT,EWFT_17_UniOTIs_NS,EWFT_17_UniOTIs_Tot,EWFT_17_Other,EWFT_17_NS,EWFT_17_Tot,EWFT_18_TechFEI_FT,EWFT_18_TechFEI_PT,EWFT_18_TechFEI_NS,EWFT_18_TechFEI_Tot,EWFT_18_UniOTIs_FT,EWFT_18_UniOTIs_PT,EWFT_18_UniOTIs_NS,EWFT_18_UniOTIs_Tot,EWFT_18_Other,EWFT_18_NS,EWFT_18_Tot,EWFT_19_TechFEI_FT,EWFT_19_TechFEI_PT,EWFT_19_TechFEI_NS,EWFT_19_TechFEI_Tot,EWFT_19_UniOTIs_FT,EWFT_19_UniOTIs_PT,EWFT_19_UniOTIs_NS,EWFT_19_UniOTIs_Tot,EWFT_19_Other,EWFT_19_NS,EWFT_19_Tot,EWFT_20_24_TechFEI_FT,EWFT_20_24_TechFEI_PT,EWFT_20_24_TechFEI_NS,EWFT_20_24_TechFEI_Tot,EWFT_20_24_UniOTIs_FT,EWFT_20_24_UniOTIs_PT,EWFT_20_24_UniOTIs_NS,EWFT_20_24_UniOTIs_Tot,EWFT_20_24_Other,EWFT_20_24_NS,EWFT_20_24_Tot,EWFT_25_29_TechFEI_FT,EWFT_25_29_TechFEI_PT,EWFT_25_29_TechFEI_NS,EWFT_25_29_TechFEI_Tot,EWFT_25_29_UniOTIs_FT,EWFT_25_29_UniOTIs_PT,EWFT_25_29_UniOTIs_NS,EWFT_25_29_UniOTIs_Tot,EWFT_25_29_Other,EWFT_25_29_NS,EWFT_25_29_Tot,EWFT_30over_TechFEI_FT,EWFT_30over_TechFEI_PT,EWFT_30over_TechFEI_NS,EWFT_30over_TechFEI_Tot,EWFT_30over_UniOTIs_FT,EWFT_30over_UniOTIs_PT,EWFT_30over_UniOTIs_NS,EWFT_30over_UniOTIs_Tot,EWFT_30over_Other,EWFT_30over_NS,EWFT_30over_Tot,EWFT_Tot_TechFEI_FT,EWFT_Tot_TechFEI_PT,EWFT_Tot_TechFEI_NS,EWFT_Tot_TechFEI_Tot,EWFT_Tot_UniOTIs_FT,EWFT_Tot_UniOTIs_PT,EWFT_Tot_UniOTIs_NS,EWFT_Tot_UniOTIs_Tot,EWFT_Tot_Other,EWFT_Tot_NS,EWFT_Tot_Tot,EWPT_16_TechFEI_FT,EWPT_16_TechFEI_PT,EWPT_16_TechFEI_NS,EWPT_16_TechFEI_Tot,EWPT_16_UniOTIs_FT,EWPT_16_UniOTIs_PT,EWPT_16_UniOTIs_NS,EWPT_16_UniOTIs_Tot,EWPT_16_Other,EWPT_16_NS,EWPT_16_Tot,EWPT_17_TechFEI_FT,EWPT_17_TechFEI_PT,EWPT_17_TechFEI_NS,EWPT_17_TechFEI_Tot,EWPT_17_UniOTIs_FT,EWPT_17_UniOTIs_PT,EWPT_17_UniOTIs_NS,EWPT_17_UniOTIs_Tot,EWPT_17_Other,EWPT_17_NS,EWPT_17_Tot,EWPT_18_TechFEI_FT,EWPT_18_TechFEI_PT,EWPT_18_TechFEI_NS,EWPT_18_TechFEI_Tot,EWPT_18_UniOTIs_FT,EWPT_18_UniOTIs_PT,EWPT_18_UniOTIs_NS,EWPT_18_UniOTIs_Tot,EWPT_18_Other,EWPT_18_NS,EWPT_18_Tot,EWPT_19_TechFEI_FT,EWPT_19_TechFEI_PT,EWPT_19_TechFEI_NS,EWPT_19_TechFEI_Tot,EWPT_19_UniOTIs_FT,EWPT_19_UniOTIs_PT,EWPT_19_UniOTIs_NS,EWPT_19_UniOTIs_Tot,EWPT_19_Other,EWPT_19_NS,EWPT_19_Tot,EWPT_20_24_TechFEI_FT,EWPT_20_24_TechFEI_PT,EWPT_20_24_TechFEI_NS,EWPT_20_24_TechFEI_Tot,EWPT_20_24_UniOTIs_FT,EWPT_20_24_UniOTIs_PT,EWPT_20_24_UniOTIs_NS,EWPT_20_24_UniOTIs_Tot,EWPT_20_24_Other,EWPT_20_24_NS,EWPT_20_24_Tot,EWPT_25_29_TechFEI_FT,EWPT_25_29_TechFEI_PT,EWPT_25_29_TechFEI_NS,EWPT_25_29_TechFEI_Tot,EWPT_25_29_UniOTIs_FT,EWPT_25_29_UniOTIs_PT,EWPT_25_29_UniOTIs_NS,EWPT_25_29_UniOTIs_Tot,EWPT_25_29_Other,EWPT_25_29_NS,EWPT_25_29_Tot,EWPT_30over_TechFEI_FT,EWPT_30over_TechFEI_PT,EWPT_30over_TechFEI_NS,EWPT_30over_TechFEI_Tot,EWPT_30over_UniOTIs_FT,EWPT_30over_UniOTIs_PT,EWPT_30over_UniOTIs_NS,EWPT_30over_UniOTIs_Tot,EWPT_30over_Other,EWPT_30over_NS,EWPT_30over_Tot,EWPT_Tot_TechFEI_FT,EWPT_Tot_TechFEI_PT,EWPT_Tot_TechFEI_NS,EWPT_Tot_TechFEI_Tot,EWPT_Tot_UniOTIs_FT,EWPT_Tot_UniOTIs_PT,EWPT_Tot_UniOTIs_NS,EWPT_Tot_UniOTIs_Tot,EWPT_Tot_Other,EWPT_Tot_NS,EWPT_Tot_Tot,EAFW_16_TechFEI_FT,EAFW_16_TechFEI_PT,EAFW_16_TechFEI_NS,EAFW_16_TechFEI_Tot,EAFW_16_UniOTIs_FT,EAFW_16_UniOTIs_PT,EAFW_16_UniOTIs_NS,EAFW_16_UniOTIs_Tot,EAFW_16_Other,EAFW_16_NS,EAFW_16_Tot,EAFW_17_TechFEI_FT,EAFW_17_TechFEI_PT,EAFW_17_TechFEI_NS,EAFW_17_TechFEI_Tot,EAFW_17_UniOTIs_FT,EAFW_17_UniOTIs_PT,EAFW_17_UniOTIs_NS,EAFW_17_UniOTIs_Tot,EAFW_17_Other,EAFW_17_NS,EAFW_17_Tot,EAFW_18_TechFEI_FT,EAFW_18_TechFEI_PT
101021007,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,6,0,6,4,7,25,0,11,0,11,0,9,0,9,4,7,36,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,0,0,3,0,9,0,3,0,3,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,3,0,4,0,5,3,3,0,7,3,7,21,4,15,0,17,3,5,0,12,13,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,11,0,11,4,3,19,0,11,0,8,0,9,0,13,3,3,34,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,3,0,0,3,3,0,9,0,0,0,0,7,0,0,9,0,0,13,0,4,0,4,13,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,9,3,4,0,10,27,4,0,33,32,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,0,8,0,12,0,13,4,0,0,3,0,0,21,3,30,0,32,13,14,0,23,7,3,65,4,15,0,23,9,17,0,25,4,0,56,3,37,0,42,8,71,0,77,9,22,155,19,105,0,126,32,104,0,132,18,27,308,0,0,0,0,0,0,0,0,48,0,49,0,0,0,0,0,0,0,0,59,3,69,0,3,0,3,23,0,0,23,26,0,49,3,3,0,8,29,0,0,28,0,0,40,9,9,0,19,86,17,0,103,3,3,127,5,9,0,9,15,5,0,25,0,3,41,14,27,0,39,15,33,0,52,19,8,115,33,50,0,86,167,59,0,230,158,22,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0
101021010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,0,6,0,10,0,11,4,0,0,4,0,0,18,5,24,0,27,3,0,0,3,4,0,36,0,12,0,15,0,12,0,12,3,0,27,0,27,0,25,3,11,0,20,7,8,58,10,86,0,96,11,24,0,37,13,12,158,0,0,0,0,0,0,0,0,37,0,41,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,9,0,0,9,9,0,19,0,0,0,0,10,0,0,10,0,0,10,6,3,0,10,24,3,0,27,7,0,39,0,0,0,0,9,4,0,11,0,0,8,4,8,0,6,7,4,0,10,4,0,18,11,13,0,19,48,13,0,59,95,3,176,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,3,0,0
101021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,6,0,6,0,0,0,0,0,0,11,0,3,0,3,5,5,0,6,3,3,15,0,5,0,12,0,24,0,24,3,3,41,0,13,0,18,4,62,0,68,16,15,111,4,36,0,39,10,92,0,103,16,22,181,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,21,0,23,0,0,0,0,5,0,0,5,18,0,22,5,3,0,7,8,0,0,8,0,0,14,4,3,0,4,16,0,0,19,0,0,32,0,0,0,0,3,3,0,6,0,0,6,0,8,0,13,3,20,0,24,4,12,46,12,15,0,26,41,22,0,63,73,12,172,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,8,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,6,0,10,0,10,0,3,0,7,0,0,15,0,37,0,36,4,6,0,3,0,0,43,6,12,0,21,0,3,0,4,0,0,29,3,18,0,25,3,3,0,4,13,3,40,10,86,0,93,6,13,0,19,15,6,129,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,0,18,0,16,0,0,0,0,10,0,0,10,13,0,18,0,4,0,3,11,0,0,11,0,0,19,3,4,0,4,28,7,0,38,0,0,44,0,0,0,0,3,0,0,6,0,0,10,0,5,0,4,0,10,0,12,6,0,21,3,14,0,19,58,17,0,78,52,3,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,10,0,10,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,3,17,0,18,0,18,0,9,0,9,3,6,34,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,0,0,0,0,0,4,0,4,0,0,4,0,3,0,3,0,3,0,3,6,4,19,3,3,0,9,3,8,0,14,22,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,8,0,9,0,9,0,0,0,0,0,0,9,0,12,0,12,0,11,0,11,0,0,20,0,7,0,6,0,5,0,5,3,0,18,0,33,0,35,3,38,0,43,8,18,103,3,73,0,73,3,53,0,59,9,23,169,0,4,0,4,0,0,0,0,37,0,42,0,0,0,0,0,0,0,0,35,3,39,0,0,0,0,0,0,0,0,14,3,18,0,0,0,0,4,0,0,7,0,0,7,3,6,0,11,10,6,0,18,3,0,32,0,7,0,7,0,3,0,3,3,4,12,3,22,0,27,5,19,0,22,8,17,69,9,45,0,51,19,29,0,47,92,29,218,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,5,0,3,0,3,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,4,8,0,4,0,4,4,3,0,3,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,4,0,4,3,0,0,11,0,3,16,0,23,0,27,17,16,0,36,3,5,68,0,22,0,23,9,12,0,21,7,3,57,0,40,0,40,0,21,0,25,11,17,90,5,91,0,92,38,56,0,93,21,31,234,0,0,0,0,0,0,0,0,23,0,29,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,3,0,0,3,8,0,6,0,0,0,0,5,3,0,8,0,0,6,0,4,0,4,22,13,0,37,3,0,47,0,8,0,8,4,9,0,13,4,3,21,0,13,0,14,5,23,0,28,6,9,59,0,28,0,29,38,40,0,85,58,14,183,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0
