SA2_MAINCODE_2016,NS_EGWWS_2016,NS_EGWWS_NS,NS_EGWWS_Tot,NS_Const_Bf_91,NS_Const_91_95,NS_Const_96_00,NS_Const_01_05,NS_Const_06_10,NS_Const_11_15,NS_Const_2016,NS_Const_NS,NS_Const_Tot,NS_WST_Bf_91,NS_WST_91_95,NS_WST_96_00,NS_WST_01_05,NS_WST_06_10,NS_WST_11_15,NS_WST_2016,NS_WST_NS,NS_WST_Tot,NS_RetT_Bf_91,NS_RetT_91_95,NS_RetT_96_00,NS_RetT_01_05,NS_RetT_06_10,NS_RetT_11_15,NS_RetT_2016,NS_RetT_NS,NS_RetT_Tot,NS_AcFd_Bf_91,NS_AcFd_91_95,NS_AcFd_96_00,NS_AcFd_01_05,NS_AcFd_06_10,NS_AcFd_11_15,NS_AcFd_2016,NS_AcFd_NS,NS_AcFd_Tot,NS_TPW_Bf_91,NS_TPW_91_95,NS_TPW_96_00,NS_TPW_01_05,NS_TPW_06_10,NS_TPW_11_15,NS_TPW_2016,NS_TPW_NS,NS_TPW_Tot,NS_IMT_Bf_91,NS_IMT_91_95,NS_IMT_96_00,NS_IMT_01_05,NS_IMT_06_10,NS_IMT_11_15,NS_IMT_2016,NS_IMT_NS,NS_IMT_Tot,NS_FinIns_Bf_91,NS_FinIns_91_95,NS_FinIns_96_00,NS_FinIns_01_05,NS_FinIns_06_10,NS_FinIns_11_15,NS_FinIns_2016,NS_FinIns_NS,NS_FinIns_Tot,NS_RHRE_Bf_91,NS_RHRE_91_95,NS_RHRE_96_00,NS_RHRE_01_05,NS_RHRE_06_10,NS_RHRE_11_15,NS_RHRE_2016,NS_RHRE_NS,NS_RHRE_Tot,NS_ProSTS_Bf_91,NS_ProSTS_91_95,NS_ProSTS_96_00,NS_ProSTS_01_05,NS_ProSTS_06_10,NS_ProSTS_11_15,NS_ProSTS_2016,NS_ProSTS_NS,NS_ProSTS_Tot,NS_AdSup_Bf_91,NS_AdSup_91_95,NS_AdSup_96_00,NS_AdSup_01_05,NS_AdSup_06_10,NS_AdSup_11_15,NS_AdSup_2016,NS_AdSup_NS,NS_AdSup_Tot,NS_PubAS_Bf_91,NS_PubAS_91_95,NS_PubAS_96_00,NS_PubAS_01_05,NS_PubAS_06_10,NS_PubAS_11_15,NS_PubAS_2016,NS_PubAS_NS,NS_PubAS_Tot,NS_EdTrn_Bf_91,NS_EdTrn_91_95,NS_EdTrn_96_00,NS_EdTrn_01_05,NS_EdTrn_06_10,NS_EdTrn_11_15,NS_EdTrn_2016,NS_EdTrn_NS,NS_EdTrn_Tot,NS_HC_SA_Bf_91,NS_HC_SA_91_95,NS_HC_SA_96_00,NS_HC_SA_01_05,NS_HC_SA_06_10,NS_HC_SA_11_15,NS_HC_SA_2016,NS_HC_SA_NS,NS_HC_SA_Tot,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_2016,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_2016,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_2016,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_2016,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_2016,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_2016,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_2016,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_2016,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_2016,Tot_Const_NS
101041017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,3,0,3,4,6,0,0
101041018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
101041019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,48,5,3,7,9,7,0,4,84,0,0,0,0,0,0,0,0,4,11,0,4,0,0,0,0,0
101041020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
101041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4
101041026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,13,5,0,0,0,0,0,0,0,6,16,0,0,3,6,0,0,0
101041027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0
101051539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,3,13,11,0,3,0,3,14,5,0,34,5,0,0,0,4,0,0,0,13,54,5,13,5,15,23,14,11,142,3,0,0,0,0,0,0,0,3,36,13,6,15,13,12,0,0
