SA2_MAINCODE_2016,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000mo_Mng,SG_3000mo_Pro,SG_3000mo_TecTW,SG_3000mo_CoPSW,SG_3000mo_ClAW,SG_3000mo_SWks,SG_3000mo_MaOpDv,SG_3000mo_Lab,SG_3000mo_IDNS,SG_3000mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot
101021007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,9,0,9,0,3,3,0,0,0,0,14,5,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,0,18,10,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,8
101021008,0,3,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,8,0,5,4,0,0,0,0,16,0,6,0,5,10,0,0,0,0,15,0,15,0,0,3,0,0,0,0,16,0,27,0,0,4,0,0,0,0,28,0,18,0,4,0,0,0,0,0,22,0,44,0,4,0,0,0,0,0,47,3,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,139,4,27,18,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,0,3,0,5,0,0,0,3,0,14,0,6,4,11,9,0,0,0,0,27,0,14,3,7,8,0,0,0,0,36,0,28,3,18,13,0,0,6,3,78,0,51,0,18,28,0,0,4,0,101,3,71,3,18,16,0,0,0,0,120,5,79,4,31,15,0,0,0,3,142,9,72,3,26,9,0,0,0,3,124,45,63,0,50,10,0,0,0,3,180,14,6,0,3,0,0,0,0,0,32,0,5,0,3,0,0,0,0,0,9,82,408,20,200,133,3,6,22,10,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,11,0,4,9,0,10,0,7,0,0,31
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,11,0,0,0,0,3,0,0,0,0,7,3,3,0,0,3,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,4,5,14,4,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10
101021011,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,4,0,10,0,5,0,3,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,6,4,3,4,5,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,31,4,13,7,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,6,6,0,15
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,0,9,0,8,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,8,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,6,0,4,0,4,0,0,0,3,0,15,0,6,3,0,4,0,0,3,0,18,0,5,0,0,4,0,0,0,0,10,0,13,0,0,0,0,0,0,0,14,0,6,0,3,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,17,5,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,42,6,17,8,0,0,11,3,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,5,0,5
101031014,0,3,0,0,0,0,0,0,0,6,0,10,0,4,8,0,0,4,3,28,0,7,0,5,12,0,0,11,0,43,0,22,4,21,9,0,3,3,0,58,0,23,0,7,14,0,3,3,0,54,0,37,6,11,6,0,0,3,0,68,3,29,5,14,9,0,3,0,0,66,0,54,6,23,0,0,0,0,0,82,26,40,9,13,3,0,0,0,0,87,19,11,3,6,0,0,0,0,0,38,0,3,0,3,0,0,0,0,0,3,51,240,36,119,71,3,3,24,3,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,3,4,0,0,3,0,16,0,0,0,0,3,0,7,9,3,23
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,5,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101031016,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,11,0,3,0,5,3,0,0,0,0,14,0,4,0,0,0,0,0,3,0,9,0,16,0,4,5,0,3,3,0,31,0,19,3,7,12,0,3,3,0,39,0,10,5,3,4,0,0,0,0,16,3,23,3,11,3,0,0,0,0,41,8,12,3,6,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,85,19,40,41,3,4,9,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,5,0,0,0,0,9,0,0,0,7,6,0,0,3,0,15,0,4,0,0,5,0,9,3,0,21
101041017,0,3,0,3,3,0,0,0,0,11,0,6,0,3,0,0,0,0,0,9,0,5,0,10,11,0,0,4,0,29,0,13,3,3,11,0,0,7,0,31,3,16,0,12,21,0,0,0,0,55,0,18,3,12,8,0,0,0,0,45,6,25,5,18,9,0,0,0,0,58,0,25,0,29,3,0,0,0,0,59,13,16,0,28,0,0,0,0,0,59,6,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,27,134,10,130,61,4,0,13,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,0,0,3,3,0,0,0,0,0,12
101041018,0,3,0,4,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,5,0,6,0,3,3,0,0,0,0,14,0,9,0,6,3,0,0,0,0,18,0,4,0,0,3,0,0,0,0,6,0,13,0,0,0,0,0,0,0,13,0,14,0,3,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,21,5,5,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,80,0,27,12,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041019,0,0,0,3,3,0,0,0,0,8,0,11,0,5,4,0,3,0,0,29,0,27,0,15,3,0,0,7,0,55,0,22,3,18,23,0,0,11,0,79,4,50,0,19,21,0,3,4,4,100,0,52,3,8,9,0,9,3,0,78,0,51,3,8,4,0,3,0,0,76,0,56,3,18,0,0,0,0,0,77,14,39,3,20,0,0,0,0,0,81,0,5,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,4,29,325,23,103,75,5,23,29,4,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,4,0,0,0,0,14,0,4,3,0,7,0,3,4,0,21,0,4,6,4,14,0,8,7,0,48
101041020,0,0,0,3,0,0,0,0,0,4,0,3,0,4,3,0,0,0,0,9,0,3,0,5,0,0,0,0,0,7,0,3,0,5,3,0,0,0,0,14,0,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,5,18,10,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041021,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,8,0,7,0,0,3,0,0,0,0,13,0,9,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,3,12,7,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,4,0,4,0,0,0,0,0,4,0,9,0,3,0,0,0,0,0,14,0,4,0,5,3,0,0,0,0,13,0,8,0,4,0,0,0,0,0,12,0,9,0,3,3,0,0,0,0,14,0,16,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,17,0,15,3,9,0,0,0,0,0,29,0,4,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,83,4,28,10,0,0,6,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,7,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041025,0,3,0,0,0,0,0,0,0,3,0,6,0,4,3,0,0,0,0,17,0,5,0,5,3,0,0,3,0,18,0,11,0,5,3,0,0,4,0,29,0,12,0,0,8,0,0,0,0,15,0,7,0,3,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,13,3,13,0,7,0,0,0,0,0,25,5,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,79,3,40,17,0,0,5,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101041026,0,7,3,0,7,0,0,0,0,14,0,9,0,6,3,0,0,5,0,23,0,7,0,13,10,0,3,4,0,39,0,30,4,14,7,0,3,5,0,69,0,46,0,9,10,0,0,3,0,59,3,35,0,4,3,0,0,0,0,49,0,52,0,4,0,0,0,0,0,58,3,37,0,6,0,0,0,0,0,44,15,17,0,7,3,0,0,0,0,34,0,6,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,7,19,258,11,67,42,0,10,21,0,428,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,9,0,0,4,0,16,0,3,3,4,7,0,0,0,0,22,3,4,0,3,3,0,0,12,0,28,0,3,10,6,12,0,10,10,3,60
101041027,0,0,0,0,0,0,0,0,0,3,0,4,3,4,0,0,0,3,0,15,0,15,0,0,6,0,0,3,0,25,0,3,0,8,6,0,0,0,0,22,0,13,0,7,0,0,0,0,0,23,0,21,0,3,5,0,0,0,0,29,0,14,0,3,0,0,0,0,0,30,0,20,0,7,0,0,0,0,0,27,11,6,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,96,8,39,21,0,0,8,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,10
101051539,0,5,0,9,5,0,0,3,0,19,0,21,0,23,13,0,0,9,0,66,0,27,7,14,25,0,0,12,0,93,3,45,12,38,37,0,3,17,0,153,9,103,5,40,55,0,3,9,3,223,5,118,4,26,28,0,3,7,0,199,4,117,7,28,4,0,0,3,0,167,14,120,7,46,13,0,0,3,0,199,42,83,3,64,9,0,3,0,0,210,12,26,0,0,0,0,0,0,0,37,0,6,0,4,0,0,0,0,0,14,93,682,39,316,193,5,24,52,8,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,3,0,0,8,0,0,3,0,20,0,0,4,0,8,0,0,3,0,19,3,0,4,0,13,0,10,9,0,41
101051540,0,0,0,3,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,8,0,5,0,4,7,0,0,8,3,26,3,8,3,11,3,0,0,4,0,35,0,18,0,3,4,0,0,3,0,35,0,18,0,4,3,0,3,0,0,30,0,26,3,3,0,0,3,0,0,34,3,16,0,3,0,0,0,0,0,30,3,10,0,11,3,0,0,0,0,28,0,3,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,5,9,112,8,47,29,0,7,15,4,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
101061541,0,3,0,0,0,0,0,3,0,6,0,0,0,3,3,0,0,0,0,8,0,5,0,0,6,0,0,0,0,6,0,3,0,3,0,0,0,3,0,15,0,7,0,0,3,0,4,0,0,15,0,12,0,0,3,0,3,0,0,23,0,7,0,4,3,0,0,0,0,17,3,19,0,3,0,0,0,0,0,25,3,14,0,7,0,0,0,0,0,28,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,82,3,21,17,0,4,7,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,13,0,0,0,0,9,0,3,3,0,13
101061542,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,8,0,9,0,4,3,0,0,3,0,11,0,11,0,0,4,0,0,0,0,17,0,9,0,0,0,0,0,4,0,18,0,16,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,15,3,7,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,68,0,16,14,0,0,11,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,6
101061543,0,3,0,3,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,11,0,13,0,0,4,0,0,0,0,20,0,9,0,8,6,0,3,5,0,26,0,19,0,3,8,0,0,0,0,32,0,20,0,5,7,0,0,0,0,32,0,17,0,5,0,0,0,0,0,28,0,18,0,12,0,0,0,0,0,27,13,14,0,7,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,120,7,40,28,0,7,9,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,19,0,0,4,0,5,0,4,4,0,25
101061544,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,4,0,7,0,5,0,3,7,0,0,0,0,10,0,3,0,3,4,0,0,0,0,14,0,8,3,3,0,0,0,0,0,15,0,15,0,3,0,0,0,0,0,20,0,9,0,9,3,0,0,0,0,19,3,7,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,3,27,15,0,3,3,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
102011028,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,7,0,0,0,0,8,0,3,0,0,0,0,0,0,0,10,0,6,0,3,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,11,4,9,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,0,3,8,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
