SA4_CODE_2016,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_Inad_des_M,Inad_des_Inad_des_F,Inad_des_Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
599,61,375,103,480,396,37,434,59,20,81,2966,400,3365,10,0,10,27,32,61,48,18,66,43,4,43,0,0,0,282,12,296,41,3,47,0,0,0,449,74,524,6,8,12,43,58,103,26,32,62,39,22,59,115,121,240,0,0,0,86,22,102,118,97,215,197,119,318,3,6,10,821,800,1617,173,49,217,1002,852,1848,0,3,3,482,352,831,2257,2108,4365,2738,2457,5196,3,0,6,197,185,378,92,15,109,475,102,580,771,303,1070,32,39,75,169,566,734,65,79,145,297,388,685,566,1069,1632,29,125,152,54,124,178,215,564,780,80,967,1055,233,1087,1321,613,2869,3478,16,14,26,15,11,23,138,122,260,151,63,218,24,10,33,340,214,559,0,0,3,1150,49,1193,357,774,1136,0,37,37,1508,859,2369,1857,601,2459,432,294,726,41063,13312,54378
601,95,401,184,585,403,82,480,106,44,150,2676,867,3542,12,5,18,152,133,289,89,107,189,110,117,230,3,5,10,572,341,914,52,20,75,32,116,144,1022,844,1861,16,14,27,446,654,1101,257,446,700,360,415,772,1079,1527,2606,0,4,4,220,111,330,412,576,988,628,687,1317,26,22,46,2703,2403,5103,701,128,836,3437,2552,5984,3,4,6,623,780,1409,539,662,1201,1164,1452,2617,19,11,31,3553,5107,8666,143,67,213,1360,757,2118,5079,5944,11022,67,109,181,1749,4986,6731,1271,1602,2877,244,402,646,3327,7100,10427,52,179,235,924,3101,4023,1059,3208,4267,499,2445,2945,760,2917,3679,3302,11848,15148,19,22,41,269,235,502,204,204,412,418,396,806,294,236,532,1203,1086,2288,0,3,4,1174,176,1355,769,1756,2518,0,3,3,1947,1937,3888,1387,743,2129,448,395,848,49249,51410,100657
602,45,232,153,386,260,39,301,103,27,133,1834,481,2315,4,0,7,93,84,177,25,26,48,53,49,98,3,0,3,159,56,216,16,6,22,8,36,48,353,257,612,6,6,8,264,530,792,76,140,217,118,154,270,467,820,1288,4,3,9,133,75,205,189,340,535,329,416,743,3,3,6,975,1034,2005,206,45,247,1182,1075,2262,0,5,5,263,347,604,314,359,676,580,710,1287,3,7,8,935,1396,2328,19,12,32,470,192,660,1426,1609,3031,30,63,97,842,2619,3463,509,686,1193,86,163,251,1475,3537,5007,29,108,136,524,2027,2548,501,1555,2063,241,1539,1774,415,1429,1844,1700,6655,8360,10,8,17,86,77,160,57,56,107,202,179,384,109,150,257,456,468,926,0,0,0,721,114,832,313,817,1139,0,7,7,1036,940,1971,880,449,1323,293,228,518,26951,26891,53845
603,28,32,45,70,12,0,15,0,5,5,185,110,296,0,0,0,7,18,26,3,4,7,0,0,0,0,0,0,6,0,9,0,0,0,4,14,15,27,35,57,0,0,0,8,35,49,3,3,5,6,4,7,17,45,63,0,0,0,10,9,16,36,54,86,41,62,102,0,0,0,107,143,253,36,11,49,142,152,303,0,0,0,43,60,108,48,80,133,96,148,239,0,0,0,187,195,380,0,0,0,39,7,49,232,204,431,8,14,22,135,547,682,6,12,20,12,23,37,165,605,772,0,11,13,25,151,171,41,157,204,17,111,128,21,117,134,96,543,644,8,0,10,99,84,184,33,30,61,21,13,32,0,6,6,158,132,292,0,0,0,103,18,127,27,71,96,0,0,0,131,94,223,178,92,266,75,56,133,5018,4236,9257
604,51,135,124,264,221,48,273,69,16,86,1836,552,2387,3,0,3,28,31,60,14,23,36,19,18,36,0,0,0,57,29,86,6,4,12,3,33,36,132,135,266,0,5,9,79,221,304,22,53,71,62,91,150,161,372,534,0,0,0,69,50,118,116,224,334,180,275,460,7,4,12,510,681,1193,72,23,92,586,710,1292,0,0,0,332,473,802,206,282,491,540,753,1299,0,0,4,655,1023,1678,4,5,12,298,162,454,956,1188,2143,17,43,61,687,2299,2986,141,235,373,48,94,138,894,2668,3566,14,68,83,236,893,1131,347,1116,1457,202,1348,1550,258,1076,1333,1055,4495,5557,5,10,18,49,47,98,21,31,52,106,113,218,9,9,17,193,214,406,3,0,3,719,123,841,197,672,869,0,0,4,925,798,1723,747,358,1104,229,222,457,21518,20901,42413
697,0,0,0,0,3,0,3,0,0,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,55
699,13,49,11,58,50,3,53,0,0,0,462,49,515,3,0,3,5,0,6,11,0,11,5,0,5,0,0,0,68,6,75,6,0,6,0,0,0,104,4,111,0,0,0,5,11,13,5,0,6,0,4,6,11,18,31,0,0,0,12,7,20,10,12,23,26,15,45,0,0,3,131,131,267,27,3,31,168,136,303,0,0,0,66,40,104,403,437,841,468,479,945,3,3,3,42,58,98,11,3,13,95,16,111,146,77,225,7,7,16,39,101,138,16,8,24,34,34,65,96,153,246,0,19,25,9,12,22,45,121,167,22,226,248,80,386,468,160,768,924,3,3,7,3,4,4,26,12,41,41,10,55,3,4,7,77,31,109,0,0,0,131,6,135,65,82,148,0,5,5,196,91,285,264,91,355,101,65,170,6785,2350,9132
701,119,166,103,273,490,149,646,99,25,131,2571,830,3400,12,9,23,61,59,119,38,33,70,102,97,198,0,0,3,164,57,217,34,17,52,11,57,73,426,326,749,3,6,11,156,305,460,68,205,268,99,127,228,327,646,972,9,8,12,207,100,308,313,581,892,525,690,1210,12,4,14,2952,1768,4724,405,128,539,3372,1899,5274,0,6,6,395,604,996,466,508,972,860,1121,1977,23,40,61,2393,4533,6928,3284,678,3968,1598,808,2408,7301,6060,13362,48,130,179,781,3068,3846,482,768,1246,117,245,368,1426,4217,5640,42,164,210,553,1668,2223,541,1426,1963,108,427,539,338,1497,1838,1580,5187,6771,19,25,37,102,125,227,55,71,124,246,280,521,313,258,569,727,756,1489,3,0,7,1017,190,1208,314,837,1150,0,3,3,1338,1028,2366,1634,679,2310,528,397,918,39969,32412,72381
702,104,31,54,91,123,39,159,12,9,20,843,283,1120,3,5,7,8,12,25,26,15,39,57,36,94,0,0,0,34,7,35,5,0,9,5,14,18,141,86,230,0,0,0,32,101,134,11,14,20,8,13,18,49,125,166,0,3,3,54,30,79,73,134,205,120,167,290,0,0,0,489,473,958,58,15,78,550,490,1040,0,0,0,285,329,609,183,178,358,471,507,975,12,18,29,1599,1903,3503,744,171,914,689,262,958,3053,2349,5404,55,96,150,853,2224,3072,180,286,468,94,186,283,1191,2795,3981,97,203,303,348,961,1307,494,966,1461,102,283,388,421,940,1365,1461,3365,4821,6,9,11,142,142,282,87,126,213,66,64,136,38,36,69,343,369,710,0,0,0,362,71,433,723,633,1355,3,4,5,1084,707,1788,593,329,928,347,307,655,17986,15613,33604
797,3,0,0,0,10,0,10,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,13,0,15,4,0,4,85,8,91
799,22,3,3,9,31,5,31,0,0,0,157,22,184,0,3,3,3,0,4,8,3,10,0,3,4,0,0,0,25,0,26,0,0,0,0,0,0,40,8,43,0,0,0,12,7,16,0,0,0,4,3,8,15,6,20,0,0,0,12,0,10,10,4,14,20,9,24,0,0,0,186,65,253,13,3,11,203,66,263,0,0,0,47,33,76,105,128,229,152,156,308,5,3,6,36,32,64,43,7,56,53,17,67,140,54,196,3,3,6,13,48,60,0,3,6,14,15,28,29,68,98,0,9,12,0,14,14,13,41,53,4,11,13,18,51,71,37,122,156,0,0,0,3,3,4,18,15,34,16,4,21,4,0,5,37,28,65,0,0,0,61,0,56,22,31,57,0,0,0,76,34,111,132,53,184,35,26,64,2829,849,3674
801,48,755,268,1024,729,389,1120,128,62,188,3760,1220,4979,34,22,59,235,206,438,168,150,320,377,243,619,6,6,11,902,319,1227,375,118,492,295,547,834,2388,1614,3999,38,34,75,509,706,1218,446,646,1089,597,490,1085,1590,1877,3464,0,3,3,243,131,379,1119,1390,2516,1367,1527,2899,76,46,126,7152,7263,14417,5192,1468,6659,12419,8780,21197,4,7,13,996,1410,2408,1537,1159,2697,2539,2582,5120,131,170,297,23355,29191,52542,8208,4261,12469,4016,2272,6287,35709,35892,71598,154,258,410,2519,8007,10522,3842,4304,8151,667,1227,1890,7178,13796,20974,64,209,273,1781,5564,7346,1638,4742,6385,656,2019,2674,1337,4807,6144,5478,17352,22831,30,30,62,559,814,1370,209,249,457,844,812,1663,173,84,259,1822,1996,3813,7,0,3,1682,276,1961,1420,3081,4499,0,43,47,3104,3401,6508,2319,1432,3751,1059,851,1908,109846,110796,220639
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,28,3,34,38,3,35,0,0,0,253,24,275,3,0,3,3,7,10,3,0,8,6,5,13,0,0,0,36,6,44,6,0,5,3,16,17,63,33,102,0,0,0,10,3,11,3,0,7,12,3,12,22,10,33,0,0,0,9,7,9,17,6,32,25,13,40,8,4,8,136,106,241,133,30,161,275,133,408,0,0,0,41,57,101,297,224,516,339,280,619,0,3,3,93,69,155,60,19,77,103,18,128,257,106,368,3,15,14,40,93,140,21,20,39,90,83,173,161,211,373,0,9,12,5,24,25,47,74,116,17,86,104,68,192,263,137,382,518,3,4,5,4,0,3,22,11,31,38,21,58,0,0,0,67,38,109,0,0,0,80,0,82,61,71,132,0,9,9,145,81,226,159,60,219,45,37,83,5137,1683,6817
901,13,7,8,12,28,14,40,0,0,0,89,34,123,0,4,3,0,0,0,0,0,3,3,0,3,0,0,0,3,0,8,3,0,3,0,5,5,14,9,24,0,0,0,0,16,18,0,4,4,3,0,6,5,25,23,0,0,0,8,6,15,5,9,13,15,10,26,0,0,0,31,25,56,10,0,9,46,30,69,0,0,0,18,44,63,43,43,83,61,89,146,5,4,3,140,93,232,157,55,211,156,76,228,455,226,680,0,7,7,39,126,160,6,3,12,5,12,12,46,141,186,0,0,0,9,29,34,10,38,50,0,14,16,5,32,34,30,106,134,0,0,0,42,21,62,0,4,5,4,6,12,0,0,0,49,34,82,0,0,0,31,3,38,5,24,25,0,0,0,43,23,64,70,32,102,17,24,37,1545,1145,2692
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,10,4,10,0,0,0,4,0,4,0,3,5,3,3,9,0,0,0,0,0,3,0,0,0,3,0,3,5,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,7,13,0,3,3,83,32,118
