GCCSA_CODE_2016,ET_NS_35_39_HW_0,ET_NS_35_39_HW_1_15,ET_NS_35_39_HW_16_24,ET_NS_35_39_HW_25_34,ET_NS_35_39_HW_35_39,ET_NS_35_39_HW_40,ET_NS_35_39_HW_41_48,ET_NS_35_39_HW_49mor,ET_NS_35_39_HW_NS,ET_NS_35_39_Tot,ET_NS_40_44_HW_0,ET_NS_40_44_HW_1_15,ET_NS_40_44_HW_16_24,ET_NS_40_44_HW_25_34,ET_NS_40_44_HW_35_39,ET_NS_40_44_HW_40,ET_NS_40_44_HW_41_48,ET_NS_40_44_HW_49mor,ET_NS_40_44_HW_NS,ET_NS_40_44_Tot,ET_NS_45_49_HW_0,ET_NS_45_49_HW_1_15,ET_NS_45_49_HW_16_24,ET_NS_45_49_HW_25_34,ET_NS_45_49_HW_35_39,ET_NS_45_49_HW_40,ET_NS_45_49_HW_41_48,ET_NS_45_49_HW_49mor,ET_NS_45_49_HW_NS,ET_NS_45_49_Tot,ET_NS_50_54_HW_0,ET_NS_50_54_HW_1_15,ET_NS_50_54_HW_16_24,ET_NS_50_54_HW_25_34,ET_NS_50_54_HW_35_39,ET_NS_50_54_HW_40,ET_NS_50_54_HW_41_48,ET_NS_50_54_HW_49mor,ET_NS_50_54_HW_NS,ET_NS_50_54_Tot,ET_NS_55_59_HW_0,ET_NS_55_59_HW_1_15,ET_NS_55_59_HW_16_24,ET_NS_55_59_HW_25_34,ET_NS_55_59_HW_35_39,ET_NS_55_59_HW_40,ET_NS_55_59_HW_41_48,ET_NS_55_59_HW_49mor,ET_NS_55_59_HW_NS,ET_NS_55_59_Tot,ET_NS_60_64_HW_0,ET_NS_60_64_HW_1_15,ET_NS_60_64_HW_16_24,ET_NS_60_64_HW_25_34,ET_NS_60_64_HW_35_39,ET_NS_60_64_HW_40,ET_NS_60_64_HW_41_48,ET_NS_60_64_HW_49mor,ET_NS_60_64_HW_NS,ET_NS_60_64_Tot,ET_NS_65_69_HW_0,ET_NS_65_69_HW_1_15,ET_NS_65_69_HW_16_24,ET_NS_65_69_HW_25_34,ET_NS_65_69_HW_35_39,ET_NS_65_69_HW_40,ET_NS_65_69_HW_41_48,ET_NS_65_69_HW_49mor,ET_NS_65_69_HW_NS,ET_NS_65_69_Tot,ET_NS_70_74_HW_0,ET_NS_70_74_HW_1_15,ET_NS_70_74_HW_16_24,ET_NS_70_74_HW_25_34,ET_NS_70_74_HW_35_39,ET_NS_70_74_HW_40,ET_NS_70_74_HW_41_48,ET_NS_70_74_HW_49mor,ET_NS_70_74_HW_NS,ET_NS_70_74_Tot,ET_NS_75ov_HW_0,ET_NS_75ov_HW_1_15,ET_NS_75ov_HW_16_24,ET_NS_75ov_HW_25_34,ET_NS_75ov_HW_35_39,ET_NS_75ov_HW_40,ET_NS_75ov_HW_41_48,ET_NS_75ov_HW_49mor,ET_NS_75ov_HW_NS,ET_NS_75ov_Tot,ET_NS_Tot_HW_0,ET_NS_Tot_HW_1_15,ET_NS_Tot_HW_16_24,ET_NS_Tot_HW_25_34,ET_NS_Tot_HW_35_39,ET_NS_Tot_HW_40,ET_NS_Tot_HW_41_48,ET_NS_Tot_HW_49mor,ET_NS_Tot_HW_NS,ET_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_15,Tot_15_19_HW_16_24,Tot_15_19_HW_25_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40,Tot_15_19_HW_41_48,Tot_15_19_HW_49mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_15,Tot_20_24_HW_16_24,Tot_20_24_HW_25_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40,Tot_20_24_HW_41_48,Tot_20_24_HW_49mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_15,Tot_25_29_HW_16_24,Tot_25_29_HW_25_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40,Tot_25_29_HW_41_48,Tot_25_29_HW_49mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_15,Tot_30_34_HW_16_24,Tot_30_34_HW_25_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40,Tot_30_34_HW_41_48,Tot_30_34_HW_49mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_15,Tot_35_39_HW_16_24,Tot_35_39_HW_25_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40,Tot_35_39_HW_41_48,Tot_35_39_HW_49mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_15,Tot_40_44_HW_16_24,Tot_40_44_HW_25_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40,Tot_40_44_HW_41_48,Tot_40_44_HW_49mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_15,Tot_45_49_HW_16_24,Tot_45_49_HW_25_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40,Tot_45_49_HW_41_48,Tot_45_49_HW_49mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_15,Tot_50_54_HW_16_24,Tot_50_54_HW_25_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40,Tot_50_54_HW_41_48,Tot_50_54_HW_49mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_15,Tot_55_59_HW_16_24,Tot_55_59_HW_25_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40,Tot_55_59_HW_41_48,Tot_55_59_HW_49mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_15,Tot_60_64_HW_16_24,Tot_60_64_HW_25_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40,Tot_60_64_HW_41_48,Tot_60_64_HW_49mor,Tot_60_64_HW_NS,Tot_60_64_Tot
9OTER,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,4,0,11,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,4,6,5,7,3,10,14,62,3,28,7,3,7,6,3,14,10,75,11,18,13,7,31,17,16,39,3,161,19,13,9,15,51,24,22,50,5,212,22,12,26,22,45,40,38,52,3,250,21,17,21,29,67,46,38,44,9,289,20,16,16,21,60,49,44,41,5,271,16,16,20,27,73,49,32,48,7,289,9,21,13,41,84,56,32,63,10,335,24,21,13,27,76,53,43,50,7,320,17,20,22,20,56,33,28,29,6,234
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,0,0,0,3,3,0,0,0,16,5,0,0,0,0,0,0,8,0,17,3,0,0,3,0,3,0,7,0,11,3,0,0,3,0,4,0,3,3,16,6,3,0,0,0,3,0,3,0,19,0,0,0,0,0,4,0,8,0,18,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
8ACTE,3,11,6,13,13,19,0,19,20,103,7,10,11,11,15,20,12,21,23,123,5,3,11,12,22,13,4,17,27,115,16,11,4,6,14,16,7,17,18,110,6,3,12,10,11,20,6,10,19,89,13,5,4,3,8,10,5,15,20,85,9,14,6,3,8,9,0,4,13,64,0,7,3,3,0,0,3,3,15,37,3,3,3,0,3,0,0,0,23,36,91,126,99,87,145,153,64,140,248,1151,416,6153,1338,854,790,606,263,397,365,11188,684,3925,2819,2298,4679,3361,1556,1703,539,21559,1140,1489,1701,1884,7842,5856,3035,2958,374,26283,1887,1399,2102,2479,7454,6395,3080,3438,368,28594,1309,1308,2049,2784,6443,5875,2773,3454,366,26366,797,1125,1641,2799,5946,6010,3058,3925,280,25587,667,977,1275,2562,5850,5680,3202,4272,280,24765,820,853,1164,2042,5230,4875,2904,3912,234,22031,755,955,1197,1549,4079,3520,2062,2839,192,17153,531,1056,1011,1168,2171,1806,983,1498,116,10335
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,8,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,5,8,11,14,11,13,0,12,15,78,20,178,24,26,32,65,25,14,17,410,36,171,65,76,120,185,86,89,23,847,36,79,55,69,143,224,106,163,29,895,35,75,43,57,121,210,83,155,13,789,37,62,49,65,103,182,69,143,14,725,20,71,61,72,102,165,68,129,11,698,21,73,76,79,66,161,80,126,15,690,37,71,49,61,59,132,61,98,15,587,30,71,56,68,64,94,38,80,11,516,18,80,55,53,34,67,17,52,6,385
7RNTE,3,5,3,8,5,3,0,6,14,49,0,3,3,0,0,3,0,3,4,26,4,3,4,4,3,8,0,7,5,37,3,3,0,3,10,8,0,7,9,48,4,0,0,3,3,3,0,4,7,26,4,0,0,0,3,6,0,5,6,31,0,0,0,0,0,0,0,7,4,17,0,0,0,0,0,0,0,0,3,12,4,0,0,0,0,0,0,0,0,4,34,34,19,25,41,40,15,54,90,364,58,451,114,122,201,160,43,165,87,1399,92,132,139,246,633,546,229,563,132,2720,192,156,211,295,964,810,423,970,148,4160,221,237,235,360,932,738,402,962,140,4227,192,206,213,334,772,633,323,785,110,3566,150,175,207,323,768,683,308,818,93,3525,148,170,193,290,834,709,360,870,88,3667,169,146,165,255,808,686,349,919,102,3603,169,122,161,231,714,590,323,799,71,3167,114,133,115,177,468,393,215,519,49,2183
7GDAR,3,3,3,3,11,8,3,9,14,64,0,6,3,3,19,11,6,15,12,85,10,3,3,4,14,13,4,17,7,68,5,3,0,6,6,11,0,14,16,64,3,0,3,7,13,6,5,10,11,57,3,9,8,0,3,9,5,7,10,48,3,3,0,3,0,5,0,4,7,22,3,4,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,7,16,54,69,38,37,108,96,34,126,142,706,99,1346,361,272,388,299,137,122,126,3147,279,425,621,621,1492,1268,773,958,216,6652,397,379,605,677,2068,1869,1101,2302,220,9620,545,431,575,651,2114,1801,1028,2584,205,9926,360,377,467,668,1907,1586,811,2290,146,8610,287,308,415,610,1646,1545,847,2250,136,8044,278,270,334,594,1634,1568,862,2149,146,7840,300,233,288,485,1388,1306,741,2012,141,6885,307,230,300,454,1194,1030,576,1506,96,5692,179,224,224,323,798,654,338,888,67,3695
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,19,0,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,4,0,9,3,0,0,0,0,0,3,12,3,15,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,3
79499,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,9,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,3,6,0,3,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,6,3,8,0,13,12,61,3,32,11,8,10,18,9,10,6,110,10,14,27,24,28,45,32,75,17,264,42,15,27,30,52,84,49,206,13,516,29,28,20,39,48,69,40,213,12,496,36,27,27,32,36,65,40,158,6,427,30,31,28,35,45,72,28,132,12,413,29,29,13,41,40,51,37,134,15,389,51,28,24,32,36,67,18,114,9,372,47,24,22,38,29,46,30,83,10,324,29,38,14,19,24,31,14,46,6,221
