GCCSA_CODE_2016,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
9OTER,6,0,0,0,3,4,0,0,0,21,3,3,3,14,3,7,0,12,0,56,5,13,4,20,4,6,7,24,0,78,16,7,12,27,13,14,3,27,0,116,31,17,16,26,11,21,4,19,5,142,25,23,36,33,28,30,10,41,6,244,31,20,58,46,42,20,21,47,4,301,59,16,65,45,46,17,18,39,3,315,49,52,65,47,38,3,18,37,15,319,43,36,32,39,36,4,18,22,7,236,35,53,31,30,29,3,22,22,3,228,39,52,32,27,15,0,14,12,6,200,79,51,47,31,17,0,21,12,10,268,41,38,13,14,5,0,0,0,9,120,3,0,12,7,3,3,9,8,9,45,469,393,435,410,291,134,165,319,76,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,10,0,3,0,6,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,17,10,8,10,0,3,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,26,33,18,3,7,3,3,6,9,118
8ACTE,122,160,74,126,103,118,23,100,75,909,123,566,223,1821,344,2552,122,1086,103,6937,191,598,327,1932,663,1751,174,842,87,6560,235,622,471,1610,746,1286,148,729,91,5928,303,764,823,1695,942,1255,202,965,133,7076,737,1396,1362,2353,1651,1625,323,1298,166,10909,1192,1884,1935,2782,2550,1645,547,1354,260,14143,1991,3130,2721,3017,4094,1548,858,1456,381,19202,2675,6659,3362,2527,6729,1023,879,992,658,25509,2567,9300,2465,1416,7228,649,690,523,665,25504,3351,11079,2075,1155,5916,417,415,274,705,25392,3624,8381,1070,784,2775,253,169,133,479,17666,12906,15377,1301,1308,4371,370,112,120,1033,36899,5912,7375,336,271,1100,328,22,34,373,15752,274,472,232,233,330,151,53,155,369,2262,36207,67771,18787,23026,39535,14959,4730,10056,5577,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,13,9,11,11,3,3,12,12,70,6,77,29,95,19,17,6,32,6,294,6,52,35,72,18,22,12,65,7,286,9,43,69,68,16,26,26,56,3,305,6,39,116,64,7,24,27,79,6,373,23,50,201,99,25,34,35,114,12,597,27,42,259,82,19,30,58,137,15,658,46,61,333,81,31,27,76,146,14,809,60,77,468,75,35,35,77,162,22,1008,66,56,338,27,32,29,38,102,16,702,62,61,290,27,27,16,23,54,16,577,49,49,159,15,12,10,11,41,4,351,74,112,134,36,21,3,12,24,13,436,49,101,43,7,17,4,0,10,13,238,8,10,40,7,8,3,8,11,18,115,480,850,2532,762,294,272,401,1050,178,6817
7RNTE,44,25,24,25,28,14,9,42,33,243,17,80,41,135,37,214,19,163,74,775,56,205,94,335,87,178,53,258,158,1434,45,177,97,250,94,122,46,190,57,1085,73,176,128,316,115,124,59,203,44,1237,111,320,209,559,265,207,126,507,81,2386,193,313,368,616,352,277,144,566,71,2906,304,395,457,682,592,280,211,581,68,3566,556,809,660,689,875,172,214,365,82,4416,514,960,521,533,519,92,196,208,58,3599,466,1114,476,347,345,55,232,128,57,3211,347,1068,341,239,171,17,195,58,38,2485,745,1172,730,388,182,29,483,89,53,3868,392,413,291,77,62,13,84,39,35,1405,79,153,88,177,64,39,73,135,174,978,3953,7374,4526,5370,3791,1831,2145,3533,1082,33604
7GDAR,57,43,35,44,56,63,12,60,33,418,31,93,80,250,67,599,24,255,30,1432,57,102,103,266,157,402,52,249,35,1418,73,103,155,324,159,354,69,313,26,1580,85,148,266,436,240,386,99,424,45,2126,169,296,468,676,479,536,204,581,60,3464,305,388,681,948,832,709,306,780,80,5036,609,732,1119,1376,1466,715,608,826,156,7605,904,1506,1764,1407,2417,498,759,669,165,10093,913,1871,1570,976,1696,332,563,342,135,8405,1065,2328,1419,686,1174,195,368,204,134,7571,980,2162,984,449,633,123,280,230,91,5930,2167,2849,2077,637,728,124,494,717,124,9911,1418,1446,2007,182,269,86,285,427,100,6222,83,154,211,102,116,74,67,125,230,1170,8917,14219,12943,8761,10487,5197,4204,6207,1456,72381
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,3,0,0,0,3,0,0,16,0,3,5,0,0,0,4,11,0,20,9,12,16,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,3,8,19,31,0,0,0,4,25,3,91
79499,4,3,4,8,5,0,3,10,8,43,0,7,4,14,8,8,0,16,3,60,3,16,10,14,10,13,12,24,6,111,6,9,25,14,4,10,5,39,3,117,3,10,29,20,10,9,10,36,3,135,13,25,52,34,11,7,18,59,3,227,15,21,71,32,7,12,24,55,8,238,12,42,89,49,25,9,38,82,7,353,29,29,160,42,37,13,60,87,22,480,34,35,153,17,17,10,41,65,16,386,29,41,138,17,13,0,28,51,9,318,26,42,124,15,11,3,34,37,3,296,36,55,230,20,20,3,52,75,7,499,23,30,187,6,6,3,25,36,5,319,0,4,36,0,0,3,9,15,15,85,234,367,1310,292,186,114,362,690,122,3674
