GCCSA_CODE_2016,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000mo_A_15_19,Mng_3000mo_A_20_24,Mng_3000mo_A_25_34,Mng_3000mo_A_35_44,Mng_3000mo_A_45_54,Mng_3000mo_A_55_64,Mng_3000mo_A_65_74,Mng_3000mo_A_75ov,Mng_3000mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24
9OTER,0,0,0,0,3,3,0,0,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,4,0,4,3,5,16,0,0,0,5,10,6,3,0,31,0,0,5,3,0,4,4,0,25,0,7,3,6,5,4,0,3,31,0,12,15,9,12,10,3,0,59,3,3,15,6,14,8,5,0,49,0,0,6,10,7,10,3,0,43,0,0,10,14,8,8,0,0,35,0,0,3,19,14,5,0,0,39,0,3,13,20,22,24,0,0,79,0,0,3,12,17,11,4,0,41,0,0,0,0,0,0,0,0,3,10,26,71,109,110,103,32,15,469,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,0,4,0,0,0,0,13,0,0,0,3,0,3,3,0,7,0,0,5,0,0,4,3,0,17,0,0,3,7,0,9,3,0,23,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
8ACTE,0,0,21,28,41,20,8,3,122,41,15,7,20,18,11,3,0,123,28,43,29,35,22,22,16,0,191,13,38,42,34,43,43,23,3,235,21,46,59,59,55,37,23,3,303,159,141,119,117,90,63,54,9,737,111,297,275,200,163,97,46,10,1192,68,451,595,400,275,153,52,5,1991,24,314,937,608,445,278,61,3,2675,10,142,800,714,535,300,68,6,2567,0,59,918,1036,843,401,77,11,3351,0,15,975,1159,941,459,62,16,3624,3,16,1768,4442,4519,1946,204,12,12906,0,4,282,1539,2511,1381,170,20,5912,3,15,54,76,67,45,10,5,274,483,1592,6882,10461,10567,5253,865,105,36207,7,19,35,62,24,14,0,0,160,158,120,83,102,52,34,9,6,566,42,162,118,126,69,51,23,3,598,18,127,143,122,83,73,46,15,622,18,144,201,151,82,100,59,8,764,33,190,450,274,179,142,102,24,1396,23,242
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,9,0,3,0,0,0,3,0,0,6,3,0,6,7,3,0,0,0,23,0,0,7,3,8,4,0,0,27,0,0,10,6,12,3,3,0,46,0,5,23,13,9,3,7,0,60,0,0,20,15,18,6,3,0,66,0,0,23,14,21,5,0,0,62,0,0,17,17,7,6,0,0,49,0,0,19,23,23,10,0,0,74,0,0,0,16,15,8,3,0,49,0,3,0,3,5,0,0,0,8,3,13,131,134,126,53,24,0,480,0,3,3,0,0,0,0,0,13,38,22,6,3,6,4,0,0,77,11,22,6,8,3,3,0,0,52,3,14,10,8,3,3,0,0,43,0,6,12,9,10,0,4,0,39,0,10,13,4,8,10,9,0,50,0,5
7RNTE,5,0,4,3,11,12,7,0,44,3,0,0,0,0,7,3,5,17,0,3,9,11,11,16,7,0,56,3,0,12,11,5,11,0,0,45,3,7,18,16,17,11,3,3,73,0,3,20,19,27,18,11,0,111,6,18,40,41,48,31,10,0,193,3,26,84,40,82,52,18,0,304,3,29,147,109,138,101,27,3,556,0,16,116,120,128,106,20,3,514,0,8,89,103,149,104,14,0,466,0,0,54,89,104,88,9,0,347,0,6,92,178,231,205,32,3,745,0,0,38,95,130,96,23,4,392,0,4,11,17,21,13,10,4,79,25,120,737,862,1094,876,209,26,3953,0,0,11,5,0,3,0,0,25,15,6,19,10,25,6,0,3,80,6,16,52,41,39,37,11,3,205,8,13,53,32,32,22,10,3,177,10,14,38,40,28,29,13,4,176,12,31,79,78,64,40,10,0,320,11,32
7GDAR,0,4,11,12,15,8,7,0,57,12,0,3,5,9,0,3,0,31,3,0,11,12,18,16,3,0,57,0,10,16,19,8,10,3,3,73,0,11,9,17,25,13,8,0,85,0,19,45,30,35,34,14,3,169,6,27,66,70,59,61,16,0,305,17,75,185,122,113,69,27,6,609,4,76,303,199,164,117,30,3,904,0,49,282,211,205,129,30,3,913,0,36,242,301,293,162,32,0,1065,0,11,196,294,293,156,25,3,980,0,9,307,660,702,430,59,0,2167,0,0,104,376,514,359,57,5,1418,0,8,14,16,26,7,6,0,83,50,330,1786,2339,2468,1571,325,37,8917,0,3,9,10,8,9,3,0,43,27,3,25,13,8,5,7,0,93,4,12,19,16,20,17,10,0,102,7,8,23,17,15,17,11,0,103,4,6,38,28,29,17,17,5,148,9,21,92,74,36,43,22,6,296,7,44
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,3,0,0,4,4,0,3,0,0,13,0,0,6,0,3,0,0,0,15,0,3,4,0,3,3,0,0,12,0,0,3,11,3,8,0,0,29,0,0,10,12,8,3,4,0,34,0,0,3,8,8,5,0,0,29,0,0,9,10,4,7,0,0,26,0,0,4,15,10,3,5,0,36,0,0,8,4,9,3,0,0,23,0,0,0,0,0,0,0,0,0,0,3,55,66,59,42,9,0,234,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,4,0,6,0,0,0,0,16,0,0,6,3,0,0,0,0,9,0,0,3,0,6,3,0,0,10,0,0,7,3,3,8,3,0,25,0,0
