GCCSA_CODE_2016,EWFT_16_TechFEI_FT,EWFT_16_TechFEI_PT,EWFT_16_TechFEI_NS,EWFT_16_TechFEI_Tot,EWFT_16_UniOTIs_FT,EWFT_16_UniOTIs_PT,EWFT_16_UniOTIs_NS,EWFT_16_UniOTIs_Tot,EWFT_16_Other,EWFT_16_NS,EWFT_16_Tot,EWFT_17_TechFEI_FT,EWFT_17_TechFEI_PT,EWFT_17_TechFEI_NS,EWFT_17_TechFEI_Tot,EWFT_17_UniOTIs_FT,EWFT_17_UniOTIs_PT,EWFT_17_UniOTIs_NS,EWFT_17_UniOTIs_Tot,EWFT_17_Other,EWFT_17_NS,EWFT_17_Tot,EWFT_18_TechFEI_FT,EWFT_18_TechFEI_PT,EWFT_18_TechFEI_NS,EWFT_18_TechFEI_Tot,EWFT_18_UniOTIs_FT,EWFT_18_UniOTIs_PT,EWFT_18_UniOTIs_NS,EWFT_18_UniOTIs_Tot,EWFT_18_Other,EWFT_18_NS,EWFT_18_Tot,EWFT_19_TechFEI_FT,EWFT_19_TechFEI_PT,EWFT_19_TechFEI_NS,EWFT_19_TechFEI_Tot,EWFT_19_UniOTIs_FT,EWFT_19_UniOTIs_PT,EWFT_19_UniOTIs_NS,EWFT_19_UniOTIs_Tot,EWFT_19_Other,EWFT_19_NS,EWFT_19_Tot,EWFT_20_24_TechFEI_FT,EWFT_20_24_TechFEI_PT,EWFT_20_24_TechFEI_NS,EWFT_20_24_TechFEI_Tot,EWFT_20_24_UniOTIs_FT,EWFT_20_24_UniOTIs_PT,EWFT_20_24_UniOTIs_NS,EWFT_20_24_UniOTIs_Tot,EWFT_20_24_Other,EWFT_20_24_NS,EWFT_20_24_Tot,EWFT_25_29_TechFEI_FT,EWFT_25_29_TechFEI_PT,EWFT_25_29_TechFEI_NS,EWFT_25_29_TechFEI_Tot,EWFT_25_29_UniOTIs_FT,EWFT_25_29_UniOTIs_PT,EWFT_25_29_UniOTIs_NS,EWFT_25_29_UniOTIs_Tot,EWFT_25_29_Other,EWFT_25_29_NS,EWFT_25_29_Tot,EWFT_30over_TechFEI_FT,EWFT_30over_TechFEI_PT,EWFT_30over_TechFEI_NS,EWFT_30over_TechFEI_Tot,EWFT_30over_UniOTIs_FT,EWFT_30over_UniOTIs_PT,EWFT_30over_UniOTIs_NS,EWFT_30over_UniOTIs_Tot,EWFT_30over_Other,EWFT_30over_NS,EWFT_30over_Tot,EWFT_Tot_TechFEI_FT,EWFT_Tot_TechFEI_PT,EWFT_Tot_TechFEI_NS,EWFT_Tot_TechFEI_Tot,EWFT_Tot_UniOTIs_FT,EWFT_Tot_UniOTIs_PT,EWFT_Tot_UniOTIs_NS,EWFT_Tot_UniOTIs_Tot,EWFT_Tot_Other,EWFT_Tot_NS,EWFT_Tot_Tot,EWPT_16_TechFEI_FT,EWPT_16_TechFEI_PT,EWPT_16_TechFEI_NS,EWPT_16_TechFEI_Tot,EWPT_16_UniOTIs_FT,EWPT_16_UniOTIs_PT,EWPT_16_UniOTIs_NS,EWPT_16_UniOTIs_Tot,EWPT_16_Other,EWPT_16_NS,EWPT_16_Tot,EWPT_17_TechFEI_FT,EWPT_17_TechFEI_PT,EWPT_17_TechFEI_NS,EWPT_17_TechFEI_Tot,EWPT_17_UniOTIs_FT,EWPT_17_UniOTIs_PT,EWPT_17_UniOTIs_NS,EWPT_17_UniOTIs_Tot,EWPT_17_Other,EWPT_17_NS,EWPT_17_Tot,EWPT_18_TechFEI_FT,EWPT_18_TechFEI_PT,EWPT_18_TechFEI_NS,EWPT_18_TechFEI_Tot,EWPT_18_UniOTIs_FT,EWPT_18_UniOTIs_PT,EWPT_18_UniOTIs_NS,EWPT_18_UniOTIs_Tot,EWPT_18_Other,EWPT_18_NS,EWPT_18_Tot,EWPT_19_TechFEI_FT,EWPT_19_TechFEI_PT,EWPT_19_TechFEI_NS,EWPT_19_TechFEI_Tot,EWPT_19_UniOTIs_FT,EWPT_19_UniOTIs_PT,EWPT_19_UniOTIs_NS,EWPT_19_UniOTIs_Tot,EWPT_19_Other,EWPT_19_NS,EWPT_19_Tot,EWPT_20_24_TechFEI_FT,EWPT_20_24_TechFEI_PT,EWPT_20_24_TechFEI_NS,EWPT_20_24_TechFEI_Tot,EWPT_20_24_UniOTIs_FT,EWPT_20_24_UniOTIs_PT,EWPT_20_24_UniOTIs_NS,EWPT_20_24_UniOTIs_Tot,EWPT_20_24_Other,EWPT_20_24_NS,EWPT_20_24_Tot,EWPT_25_29_TechFEI_FT,EWPT_25_29_TechFEI_PT,EWPT_25_29_TechFEI_NS,EWPT_25_29_TechFEI_Tot,EWPT_25_29_UniOTIs_FT,EWPT_25_29_UniOTIs_PT,EWPT_25_29_UniOTIs_NS,EWPT_25_29_UniOTIs_Tot,EWPT_25_29_Other,EWPT_25_29_NS,EWPT_25_29_Tot,EWPT_30over_TechFEI_FT,EWPT_30over_TechFEI_PT,EWPT_30over_TechFEI_NS,EWPT_30over_TechFEI_Tot,EWPT_30over_UniOTIs_FT,EWPT_30over_UniOTIs_PT,EWPT_30over_UniOTIs_NS,EWPT_30over_UniOTIs_Tot,EWPT_30over_Other,EWPT_30over_NS,EWPT_30over_Tot,EWPT_Tot_TechFEI_FT,EWPT_Tot_TechFEI_PT,EWPT_Tot_TechFEI_NS,EWPT_Tot_TechFEI_Tot,EWPT_Tot_UniOTIs_FT,EWPT_Tot_UniOTIs_PT,EWPT_Tot_UniOTIs_NS,EWPT_Tot_UniOTIs_Tot,EWPT_Tot_Other,EWPT_Tot_NS,EWPT_Tot_Tot,EAFW_16_TechFEI_FT,EAFW_16_TechFEI_PT,EAFW_16_TechFEI_NS,EAFW_16_TechFEI_Tot,EAFW_16_UniOTIs_FT,EAFW_16_UniOTIs_PT,EAFW_16_UniOTIs_NS,EAFW_16_UniOTIs_Tot,EAFW_16_Other,EAFW_16_NS,EAFW_16_Tot,EAFW_17_TechFEI_FT,EAFW_17_TechFEI_PT,EAFW_17_TechFEI_NS,EAFW_17_TechFEI_Tot,EAFW_17_UniOTIs_FT,EAFW_17_UniOTIs_PT,EAFW_17_UniOTIs_NS,EAFW_17_UniOTIs_Tot,EAFW_17_Other,EAFW_17_NS,EAFW_17_Tot,EAFW_18_TechFEI_FT,EAFW_18_TechFEI_PT
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,3,0,11,0,7,0,7,0,3,0,5,3,0,18,0,14,0,15,3,18,0,24,15,25,82,0,23,0,25,6,29,0,34,28,25,112,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,0,5,0,0,0,0,3,0,0,3,3,0,3,3,5,0,5,3,7,0,10,5,18,39,3,8,0,12,5,7,0,12,29,22,71,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,11,0,11,0,0,0,0,4,0,18,4,22,0,31,8,0,0,8,5,0,48,11,132,0,150,122,4,0,122,18,0,291,24,202,0,228,246,31,0,283,36,9,554,90,830,3,921,974,781,0,1752,224,44,2943,64,561,6,630,431,1778,4,2215,226,46,3113,156,1499,10,1669,705,4640,20,5365,844,421,8300,357,3259,19,3638,2484,7240,22,9747,1360,524,15268,17,0,0,17,0,0,0,0,1369,19,1401,28,23,0,54,26,0,0,26,1623,20,1723,90,51,0,139,666,25,3,695,636,13,1483,83,78,0,158,1289,64,0,1354,40,3,1560,254,261,3,521,5121,582,3,5706,115,38,6382,191,158,0,354,1152,406,0,1556,81,26,2019,280,752,0,1030,933,1291,6,2226,433,221,3912,944,1319,7,2269,9175,2375,17,11569,4301,337,18480,5,0,0,10,0,0,0,0,100,0,104,0,0,0,5,5,0,0,4,101,0,110,3,7
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,5,0,18,0,15,3,0,0,3,0,0,23,0,25,0,27,3,0,0,3,0,0,33,11,90,0,99,7,10,0,17,7,3,124,3,36,0,43,6,14,0,17,6,3,64,3,52,0,53,10,32,0,39,18,13,125,18,226,0,246,28,56,0,84,30,15,384,0,0,0,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,0,29,3,40,0,8,0,8,26,0,0,33,10,0,46,7,3,0,10,59,4,0,62,0,0,70,10,13,0,18,152,20,0,170,6,0,192,8,7,0,17,44,4,0,51,0,0,75,19,36,0,52,31,29,0,58,18,13,145,42,65,0,109,312,59,0,372,84,19,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,0,3,0,3,0,0,0,0,3,0,3,0,3,0,7,0,0,0,0,0,0,7,15,16,0,24,5,3,0,10,3,4,39,6,18,0,27,4,15,0,18,0,3,44,37,84,0,123,33,72,0,100,15,23,261,17,85,0,98,43,185,0,221,32,19,376,22,266,3,291,87,705,3,791,172,215,1473,97,469,7,572,164,974,8,1142,224,266,2201,0,0,0,3,0,0,0,0,141,3,149,3,4,0,5,3,0,0,3,115,3,133,0,3,0,3,4,4,0,12,42,3,61,0,6,0,6,5,0,0,0,10,3,16,3,20,0,20,28,15,0,45,8,9,82,3,22,0,23,18,39,0,52,12,10,100,14,80,3,97,48,153,0,205,54,100,456,21,131,3,161,103,218,0,317,390,135,997,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,15,3,16,0,3
7GDAR,0,5,0,5,0,0,0,0,3,0,12,0,13,0,18,0,4,0,5,0,0,25,5,46,0,51,8,14,0,21,8,3,81,3,45,4,57,12,29,0,35,14,9,110,40,174,3,214,101,248,0,351,75,35,671,30,186,3,219,109,390,0,504,93,51,858,50,515,3,570,191,1415,5,1618,401,316,2902,131,987,10,1127,424,2099,5,2533,596,409,4669,0,3,0,3,0,0,0,4,390,5,398,4,3,0,10,11,5,0,19,435,10,470,7,6,0,16,81,13,0,94,111,3,223,3,19,0,22,105,26,0,128,10,5,170,25,52,0,79,550,110,3,668,32,17,789,28,38,0,61,340,107,0,449,47,11,573,46,177,3,225,266,323,7,600,153,111,1085,117,300,4,420,1362,588,12,1957,1172,162,3712,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,34,0,39,3,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,10,0,0,0,0,0,3,0,7,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,4,0,9,3,8,0,9,3,0,19,0,15,0,15,3,9,0,12,3,3,32,0,23,0,18,3,20,0,29,11,9,70,3,44,0,50,7,41,0,52,14,16,131,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,5,0,0,5,0,0,4,0,3,0,3,12,6,0,19,0,3,20,0,0,0,0,0,3,0,4,0,3,7,0,7,0,6,8,15,0,21,8,5,48,3,9,0,17,25,25,0,50,22,10,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
