GCCSA_CODE_2016,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Zimbabwe_E,M_Zimbabwe_OM_IE,M_Zimbabwe_OM_UIE,M_Zimbabwe_CFW,M_Zimbabwe_ES_NS,M_Zimbabwe_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_FYROM_E,F_FYROM_OM_IE,F_FYROM_OM_UIE,F_FYROM_CFW,F_FYROM_ES_NS,F_FYROM_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Malta_E,F_Malta_OM_IE,F_Malta_OM_UIE,F_Malta_CFW,F_Malta_ES_NS,F_Malta_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW
9OTER,0,0,0,0,0,0,0,0,0,0,41,4,9,3,0,56,29,0,5,0,4,40,1253,62,157,34,41,1545,577,16,56,5,15,685,3,0,0,0,0,3,8,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,4,7,0,106,0,0,0,0,0,0,5,0,0,0,0,5,107,0,25,4,5,143,0,0,0,0,0,0,18,0,4,0,0,26,0,0,0,0,0,0,7,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10,0,0,0,0,0,3,63,7,7,4,0,83,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,63,24,12,971,226,13,10,0,0,251,5540,352,278,49,47,6256,570,47,32,4,40,698,97441,6637,4497,644,626,109846,75386,1722,2151,411,317,79982,422,6,12,0,0,443,2320,97,83,41,5,2549,178,8,10,8,3,205,70,5,6,0,3,79,333,4,5,0,0,344,189,3,8,6,3,207,454,12,26,7,3,501,95,15,11,0,0,122,499,13,11,4,0,529,2946,64,62,18,21,3113,362,12,14,0,3,391,184,11,6,0,0,195,49,3,9,0,0,59,240,9,3,0,0,257,269,11,16,5,0,307,264,3,8,0,3,280,603,26,21,5,3,661,80,4,3,3,0,90,728,30,31,5,0,795,43,0,3,0,3,54,178,6,13,3,0,196,1566,51,49,11,7,1685,290,10,12,6,3,319,1584,19,26,5,11,1652,250,15,12,0,0,275,277,5,6,0,0,292,682,14,24,3,0,723,854,10,17,5
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,6,0,0,30,0,0,0,0,0,0,159,58,75,3,11,304,37,4,18,0,4,69,3065,732,1240,38,57,5137,964,53,198,14,12,1242,3,0,0,0,0,5,20,0,6,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,5,0,0,10,3,0,0,0,0,3,3,0,0,0,0,10,17,0,3,0,0,23,3,0,0,0,0,3,7,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,0,3,4,0,0,0,0,12,7,0,4,0,0,15,0,0,0,0,0,0,6,3,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,4,21,0,7,0,0,29,0,0,0,0,0,0,10,0,4,0,0,11,3,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,8,5,0,0,0
7RNTE,16,3,0,63,96,0,7,0,0,101,631,17,31,0,6,689,277,22,31,12,12,342,16131,820,707,140,188,17986,10708,326,313,96,126,11566,43,0,0,0,0,48,46,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,56,0,3,0,0,59,3,0,0,0,0,3,108,6,3,0,0,112,3,0,0,3,0,4,27,0,0,0,0,30,283,0,3,0,7,293,35,0,4,0,0,37,6,0,0,0,0,6,0,0,0,0,0,0,55,0,4,0,0,59,30,3,0,0,5,35,47,0,3,0,0,46,38,0,0,0,0,38,0,0,0,0,0,0,40,0,0,0,0,42,3,0,0,0,0,3,37,0,3,0,0,43,616,14,15,3,4,655,6,0,0,0,0,6,391,4,9,5,6,416,17,0,0,0,0,17,15,0,0,0,0,12,91,5,4,0,0,100,37,3,0,0
7GDAR,47,11,3,214,165,8,3,0,0,173,2261,120,126,27,20,2553,459,44,34,12,37,584,35398,2139,1761,268,401,39969,19634,731,754,180,176,21481,85,0,3,0,0,96,295,14,22,3,5,346,4,0,0,0,0,4,6,0,0,0,0,5,74,3,5,0,0,81,0,0,0,0,0,0,196,14,6,0,0,223,111,15,17,3,3,151,59,3,4,0,0,61,646,13,13,10,7,681,345,5,17,0,3,367,27,0,0,0,0,30,0,0,0,0,0,0,311,0,4,0,0,315,61,0,0,3,0,68,60,3,0,0,0,66,84,0,8,0,0,87,6,0,0,0,0,6,177,3,11,0,4,193,6,0,0,0,0,11,69,4,3,0,3,76,824,31,37,9,3,896,38,0,3,0,0,39,1589,23,51,12,19,1688,23,0,0,0,0,27,76,3,3,0,0,83,184,3,9,0,0,204,134,6,3,0
79799,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,9,0,0,0,0,0,0,74,3,4,4,0,85,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,0,0,17,7,0,0,0,0,9,70,3,17,0,0,89,41,5,13,4,3,62,1923,275,548,32,48,2829,416,37,114,19,7,601,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0,7,3,0,0,0,0,3,9,0,0,0,0,10,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,21,0,11,0,0,35,0,0,0,0,0,0,21,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
